Id;Parent;Label;Identifier;"Compliance score";Description;Disabled;Justification;Applicable
4860;4850;[10];P10;0;"ICT operations security and operational policies, procedures, protocols, and tools are essential to ensure the confidentiality, integrity, and availability of data. One pivotal aspect is the strict separation of ICT production environments from the environments where ICT systems are developed and tested or from other non-production environments. That separation should serve as an important ICT security measure against unintended and unauthorised access to, modifications of, and deletions of data in the production environment, which could result in major disruptions in the business operations of financial entities referred to in Title II of this Regulation. However, considering current ICT system development practices, in exceptional circumstances, financial entities should be allowed to test in production environments, provided that they justify such testing and obtain the required approval.";;;1
4861;4850;[11];P11;0;"The fast-evolving nature of ICT landscapes, ICT vulnerabilities and cyber threats necessitates a proactive and comprehensive approach to identifying, evaluating, and addressing ICT vulnerabilities. Without such an approach, financial entities, their customers, users, or counterparties may be severely exposed to risks, which would put at risk their digital operational resilience, the security of their networks, and the availability, authenticity, integrity, and confidentiality of data that ICT security policies and procedures should protect. Financial entities referred to in Title II of this Regulation should therefore identify and remedy vulnerabilities in their ICT environment, and both the financial entities and their ICT third-party service providers should adhere to a coherent, transparent, and responsible vulnerability management framework. For the same reason, financial entities should monitor ICT vulnerabilities using reliable resources and automated tools, verifying that ICT third-party service providers ensure prompt action on vulnerabilities in provided ICT services.";;;1
4862;4850;[12];P12;0;"Patch management should be a crucial part of those ICT security policies and procedures that, through testing and deployment in a controlled environment, are to resolve identified vulnerabilities and to prevent disruptions from the installation of patches.";;;1
4863;4850;[13];P13;0;"To ensure timely and transparent communication of potential security threats that could impact the financial entity and its stakeholders, financial entities should establish procedures for the responsible disclosure of ICT vulnerabilities to clients, counterparts, and the public. When establishing those procedures, financial entities should consider factors, including the severity of the vulnerability, the potential impact of such vulnerability on stakeholders, and the readiness of a fix or mitigation measures.";;;1
4864;4850;[14];P14;0;"To allow for the assignment of user access rights, financial entities referred to in Title II of this Regulation should establish strong measures to ascertain the unique identification of individuals and systems that will access the financial entity’s information. A failure to do so would expose financial entities to potential unauthorised access, data breaches, and fraudulent activities, thus compromising the confidentiality, integrity, and availability of sensitive financial data. While the use of generic or shared accounts should exceptionally be permitted under circumstances specified by financial entities, financial entities should ensure that the accountability for actions taken through those accounts is maintained. Without that safeguard, potential malicious users would be able to hinder investigative and corrective measures, leaving financial entities vulnerable to undetected malicious activities or non-compliance penalties.";;;1
4865;4850;[15];P15;0;"To manage the rapid advancement in ICT environments, financial entities referred to in Title II of this Regulation should implement robust ICT project management policies and procedures to maintain data availability, authenticity, integrity, and confidentiality. Those ICT project management policies and procedures should identify the elements that are necessary to successfully manage ICT projects, including changes to, acquisitions of, the maintenance of, and developments of the financial entity’s ICT systems, regardless of the ICT project management methodology chosen by the financial entity. In the context of those policies and procedures, financial entities should adopt testing practices and methods that suit their needs, while adhering to a risk-based approach and ensuring that a secure, reliable, and resilient ICT environment is maintained. To guarantee the secure implementation of an ICT project, financial entities should ensure that staff from specific business sectors or roles influenced or impacted by that ICT project can provide the necessary information and expertise. To ensure effective oversight, reports on ICT projects, in particular about projects that affect critical or important functions and about their associated risks, should be submitted to the management body. Financial entities should tailor the frequency and details of the systematic and ongoing reviews and reports to the importance and the size of the ICT projects concerned.";;;1
4866;4850;[16];P16;0;"It is necessary to ensure that software packages that financial entities referred to in Title II of this Regulation acquire and develop are effectively and securely integrated into the existing ICT environment, in accordance with established business and information security objectives. Financial entities should therefore thoroughly evaluate such software packages. For that purpose, and to identify vulnerabilities and potential security gaps within both software packages and the broader ICT systems, financial entities should carry out ICT security testing. To assess the integrity of the software and to ensure that the use of that software does not pose ICT security risks, financial entities should also review source codes of software acquired, including, where feasible, of proprietary software provided by ICT third- party service providers, using both static and dynamic testing methods.";;;1
4867;4850;[17];P17;0;"Changes, regardless of their scale, carry inherent risks and may pose significant risks of loss of confidentiality, integrity, and availability of data, and could thus lead to severe business disruptions. To safeguard financial entities from potential ICT vulnerabilities and weaknesses that could expose them to significant risks, a rigorous verification process is necessary to confirm that all changes meet the necessary ICT security requirements. Financial entities referred to in Title II of this Regulation should therefore, as an essential element of their ICT security policies and procedures, have in place sound ICT change management policies and procedures. To uphold the objectivity and effectiveness of the ICT change management process, to prevent conflicts of interest, and to ensure that ICT changes are evaluated objectively, it is necessary to separate the functions responsible for approving those changes from the functions that request and implement those changes. To achieve effective transitions, controlled ICT change implementation, and minimal disruptions to the operation of the ICT systems, financial entities should assign clear roles and responsibilities that ensure that ICT changes are planned, adequately tested, and that quality is ensured. To ensure that ICT systems continue to operate effectively, and to provide a safety net for financial entities, financial entities should also develop and implement fall-back procedures. Financial entities should clearly identify those fall- back procedures and assign responsibilities to ensure a swift and effective response in the event of unsuccessful ICT changes.";;;1
4868;4850;[18];P18;0;"To detect, manage, and report ICT-related incidents, financial entities referred to in Title II of this Regulation should establish an ICT-related incident policy encompassing the components of an ICT-related incident management process. For that purpose, financial entities should identify all relevant contacts inside and outside the organisation that can facilitate the correct coordination and implementation of the different phases within that process. To optimise the detection of, and response to, ICT-related incidents, and to identify trends among those incidents, which are a valuable source of information enabling financial entities to identify and address root causes and problems in an effective manner, financial entities should in particular analyse in detail the ICT-related incidents that they consider to be most significant, inter alia, because of their regular reoccurrence.";;;1
4869;4850;[19];P19;0;"To guarantee an early and effective detection of anomalous activities, financial entities referred to in Title II of this Regulation should collect, monitor, and analyse the different sources of information and should allocate related roles and responsibilities. As regards internal sources of information, logs are an extremely relevant source, but financial entities should not rely on logs alone. Instead, financial entities should consider broader information to include what is reported by other internal functions, as those functions are often a valuable source of relevant information. For the same reason, financial entities should analyse and monitor information gathered from external sources, including information provided by ICT third-party providers on incidents affecting their systems and networks, and other sources of information that financial entities consider relevant. In so far as such information constitutes personal data, the Union data protection law applies. The personal data should be limited to what is necessary for the incident detection.";;;1
4870;4850;[20];P20;0;"To facilitate ICT-related incidents detection, financial entities should retain evidence of those incidents. To ensure, on the one hand, that such evidence is retained sufficiently long and to avoid, on the other hand, an excessive regulatory burden, financial entities should determine the retention period considering, among other things, the criticality of the data and retention requirements stemming from Union law.";;;1
4871;4850;[21];P21;0;"To ensure that ICT-related incidents are detected in time, financial entities referred to in Title II of this Regulation should consider the criteria identified for triggering the detection of and responses to ICT-related incidents as not exhaustive. Moreover, while financial entities should consider each of those criteria, the circumstances described in the criteria should not need to occur simultaneously and the importance of the affected ICT services should be appropriately considered to trigger ICT-related incident detection and response processes.";;;1
4872;4850;[22];P22;0;"When developing an ICT business continuity policy, financial entities referred to in Title II of this Regulation should take into account the essential components of ICT risk management, including ICT-related incident management and communication strategies, the ICT change management process, and risks associated with ICT third-party service providers.";;;1
4873;4850;[23];P23;0;"It is necessary to set out the set of scenarios that financial entities referred to in Title II of this Regulation should take into account both for the implementation of ICT response and recovery plans and for the testing of ICT business continuity plans. Those scenarios should serve as a starting point for financial entities to analyse both the relevance and plausibility of each scenario and the need to develop alternative scenarios. Financial entities should focus on those scenarios in which investment in resilience measures could be more efficient and effective. By testing switchovers between the primary ICT infrastructure and any redundant capacity, backups and redundant facilities, financial institutions should assess whether that capacity, backup, and those facilities operate effectively for a sufficient period of time and ensure that the normal functioning of the primary ICT infrastructure is restored in accordance with the recovery objectives.";;;1
4874;4850;[24];P24;0;"It is necessary to lay down requirements for operational risk, and more particularly requirements for ICT project and change management and ICT business continuity management building on those that apply already to central counterparties, central securities depositories and trading venues under, respectively, Regulations (EU) No 648/2012 (3), (EU) No 600/2014 (4) and (EU) No 909/2014 (5) of the European Parliament and of the Council.";;;1
4875;4850;[25];P25;0;"Article 6(5) of Regulation (EU) 2022/2554 requires financial entities to review their ICT risk management framework and to provide their competent authority with a report on that review. To enable competent authorities to easily process the information in those reports, and to guarantee an adequate transmission of that information, financial entities should submit those reports in a searchable electronic format.";;;1
4876;4850;[26];P26;0;"The requirements for financial entities that are subject to the simplified ICT risk management framework referred to in Article 16 of Regulation (EU) 2022/2554 should be focused on those essential areas and elements that, in light of the scale, risk, size, and complexity of those financial entities, are as a minimum necessary to ensure the confidentiality, integrity, availability, and authenticity of the data and services of those financial entities. In that context, those financial entities should have in place an internal governance and control framework with clear responsibilities to enable an effective and sound risk management framework. Furthermore, to reduce the administrative and operational burden, those financial entities should develop and document only one policy, that is an information security policy, that specifies the high-level principles and rules necessary to protect the confidentiality, integrity, availability, and authenticity of data and of the services of those financial entities.";;;1
4877;4850;[27];P27;0;"The provisions of this Regulation relate to the area of the ICT risk management framework, by detailing specific elements applicable to the financial entities in accordance with Article 15 of Regulation (EU) 2022/2554 and by designing the simplified ICT risk management framework for the financial entities set out in Article 16(1) of that Regulation. To ensure coherence between the ordinary and the simplified ICT risk management framework, and considering that those provisions should become applicable at the same time, it is appropriate to include those provisions in a single legislative act.";;;1
4878;4850;[28];P28;0;"This Regulation is based on the draft regulatory technical standards submitted to the Commission by the European Banking Authority, the European Insurance and Occupational Pensions Authority and the European Securities and Markets Authority (European Supervisory Authorities), in consultation with the European Union Agency for Cybersecurity (ENISA).";;;1
4879;4850;[29];P29;0;"The Joint Committee of the European Supervisory Authorities referred to in Article 54 of Regulation (EU) No 1093/2010 of the European Parliament and of the Council (6), in Article 54 of Regulation (EU) No 1094/2010 of the European Parliament and of the Council (7) and in Article 54 of Regulation (EU) No 1095/2010 of the European Parliament and of the Council (8) has conducted open public consultations on the draft regulatory technical standards on which this Regulation is based, analysed the potential costs and benefits of the proposed standards and requested advice of the Banking Stakeholder Group established in accordance with Article 37 of Regulation (EU) No 1093/2010, the Insurance and Reinsurance Stakeholder Group and the Occupational Pensions Stakeholder Group established in accordance with Article 37 of Regulation (EU) No 1094/2010, and the Securities and Markets Stakeholder Group established in accordance with Article 37 of Regulation (EU) No 1095/2010.";;;1
4880;4850;[30];P30;0;"To the extent to which processing of personal data is required to comply with the obligations set out in this Act, Regulations (EU) 2016/679 (9) and (EU) 2018/1725 (10) of the European Parliament and of the Council should fully apply. For instance, the data minimisation principle should be complied with where personal data are collected to ensure an appropriate incident detection. The European Data Protection Supervisor has also been consulted on the draft text of this Act,";;;1
4881;;"TITLE I - GENERAL PRINCIPLE";I;;;1;;1
4882;4881;"Article 01 - Overall risk profile and complexity";I.A01;0;"When developing and implementing the ICT security policies, procedures, protocols and tools referred to in Title II and the simplified ICT risk management framework referred to in Title III, the size and the overall risk profile of the financial entity, and the nature, scale and elements of increased or reduced complexity of its services, activities and operations shall be taken into account, including elements relating to:
(a)	encryption and cryptography;
(b)	ICT operations security;
(c)	network security;
(d)	ICT project and change management;
(e)	the potential impact of the ICT risk on confidentiality, integrity and availability of data, and of the disruptions on the continuity and availability of the financial entity’s activities.";;;1
4883;;"TITLE II - FURTHER HARMONISATION OF ICT RISK MANAGEMENT TOOLS, METHODS, PROCESSES, AND POLICIES IN ACCORDANCE WITH ARTICLE 15 OF REGULATION (EU) 2022/2554";II;;;1;;1
4884;4883;"CHAPTER I - ICT Security policies, procedures, protocols, and tools";II.C01;;;1;;0
4885;4884;"Section 01";II.C01.S01;;;1;;0
4886;4885;"Article 02 - General elements of ICT security policies, procedures, protocols, and tools";II.C01.S01.A02;;;1;;0
4887;4886;"Article 02.1";II.C01.S01.A02.1;0;"Financial entities shall ensure that their ICT security policies, information security, and related procedures, protocols, and tools as referred to in Article 9(2) of Regulation (EU) 2022/2554 are embedded in their ICT risk management framework. Financial entities shall establish the ICT security policies, procedures, protocols, and tools laid down in this Chapter that:
(a)	ensure the security of networks;
(b)	contain safeguards against intrusions and data misuse;
(c)	preserve the availability, authenticity, integrity, and confidentiality of data, including via the use of cryptographic techniques;
(d)	guarantee an accurate and prompt data transmission without major disruptions and undue delays.";;;1
4888;4886;"Article 02.2";II.C01.S01.A02.2;0;"Financial entities shall ensure that the ICT security policies referred to in paragraph 1:
(a)	are aligned to the financial entity’s information security objectives included in the digital operational resilience strategy referred to in Article 6(8) of Regulation (EU) 2022/2554;
(b)	indicate the date of the formal approval of the ICT security policies by the management body; (c) 	contain indicators and measures to:
(i)	monitor the implementation of the ICT security policies, procedures, protocols, and tools;
(ii)	record exceptions from that implementation;
(iii)	ensure that the digital operational resilience of the financial entity is ensured in case of exceptions as referred to in point (ii);
(d)	specify the responsibilities of staff at all levels to ensure the financial entity’s ICT security;
(e)	specify the consequences of non-compliance by staff of the financial entity with the ICT security policies, where provisions to that effect are not laid down in other policies of the financial entity;
(f)	list the documentation to be maintained;
(g)	specify the segregation of duties arrangements in the context of the three lines of defence model or other internal risk management and control model, as applicable, to avoid conflicts of interest;
(h)	consider leading practices and, where applicable, standards as defined in Article 2, point (1), of Regulation (EU) No 1025/2012;
(i)	identify the roles and responsibilities for the development, implementation and maintenance of ICT security policies, procedures, protocols, and tools;
(j)	are reviewed in accordance with Article 6(5) of Regulation (EU) 2022/2554;
(k)	take into account material changes concerning the financial entity, including material changes to the activities or processes of the financial entity, to the cyber threat landscape, or to applicable legal obligations.";;;1
4889;4884;"Section 02";II.C01.S02;;;1;;0
4890;4889;"Article 03 - ICT risk management";II.C01.S02.A03;0;"Financial entities shall develop, document, and implement ICT risk management policies and procedures that shall contain all of the following:
(a)	an indication of the approval of the risk tolerance level for ICT risk established in accordance with Article 6(8), point (b), of Regulation (EU) 2022/2554;
(b)	a procedure and a methodology to conduct the ICT risk assessment, identifying:
(i)	vulnerabilities and threats that affect or may affect the supported business functions, the ICT systems and ICT assets supporting those functions;
(ii)	the quantitative or qualitative indicators to measure the impact and likelihood of the vulnerabilities and threats referred to in point (i);
(c)	the procedure to identify, implement, and document ICT risk treatment measures for the ICT risks identified and assessed, including the determination of ICT risk treatment measures necessary to bring ICT risk within the risk tolerance level referred to in point (a);
(d)	for the residual ICT risks that are still present following the implementation of the ICT risk treatment measures referred to in point (c):
(i)	provisions on the identification of those residual ICT risks;
(ii)	the assignment of roles and responsibilities regarding:
(1)	the acceptance of the residual ICT risks that exceed the financial entity’s risk tolerance level referred to in point (a);
(2)	for the review process referred to in point (iv) of this point (d);
(iii)	the development of an inventory of the accepted residual ICT risks, including a justification for their acceptance;
(iv)	provisions on the review of the accepted residual ICT risks at least once a year, including:
(1)	the identification of any changes to the residual ICT risks;
(2)	the assessment of available mitigation measures;
(3)	the assessment of whether the reasons justifying the acceptance of residual ICT risks are still valid and applicable at the date of the review; 
(e) provisions on the monitoring of:
(i) 	any changes to the ICT risk and cyber threat landscape; 
(ii)       internal and external vulnerabilities and threats:
(iii) 	ICT risk of the financial entity that enables promp detection of changes that could affect its ICT risk profile;
(f) provisions on a process to ensure that any changes to the business strategy and the digital operational resilience strategy of the financial entity are taken into account.
For the purposes of the first paragraph, point (c), the procedure referred to in that point shall ensure:
(a)	the monitoring of the effectiveness of the ICT risk treatment measures implemented;
(b)	the assessment of whether the established risk tolerance levels of the financial entity have been attained;
(c)	the assessment of whether the financial entity has taken actions to correct or improve those measures where necessary.";;;1
4891;4884;"Section 03 - ICT asset management";II.C01.S03;;;1;;0
4892;4891;"Article 04 - ICT asset management policy";II.C01.S02.A04;;;1;;0
4893;4892;"Article 04.1";II.C01.S02.A04.1;0;"As part of the ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement a policy on management of ICT assets.";;;1
4894;4892;"Article 04.2";II.C01.S02.A04.2;0;"The policy on management of ICT assets referred to in paragraph 1 shall:
(a)	prescribe the monitoring and management of the lifecycle of ICT assets identified and classified in accordance with Article 8(1) of Regulation (EU) 2022/2554;
(b)	prescribe that the financial entity keeps records of all of the following:
(i)	the unique identifier of each ICT asset;
(ii)	information on the location, either physical or logical, of all ICT assets;
(iii)	the classification of all ICT assets, as referred to in Article 8(1) of Regulation (EU) 2022/2254;
(iv)	the identity of ICT asset owners;
(v)	the business functions or services supported by the ICT asset;
(vi)	the ICT business continuity requirements, including recovery time objectives and recovery point objectives;
(vii)	whether the ICT asset can be or is exposed to external networks, including the internet;
(viii)	the links and interdependencies among ICT assets and the business functions using each ICT asset;
(ix)	where applicable, for all ICT assets, the end dates of the ICT third-party service provider’s regular, extended, and custom support services after which those ICT assets are no longer supported by their supplier or by an ICT third-party service provider;
(c)	for financial entities other than microenterprises, prescribe that those financial entities keep records of the information necessary to perform a specific ICT risk assessment on all legacy ICT systems referred to in Article 8(7) of Regulation (EU) 2022/2554.";;;1
4895;4891;"Article 05 - ICT asset management procedure";II.C01.S02.A05;;;1;;0
4896;4895;"Article 05.1";II.C01.S02.A05.1;0;"Financial entities shall develop, document, and implement a procedure for the management of ICT assets.";;;1
4897;4895;"Article 05.2";II.C01.S02.A05.2;0;"The procedure for management of ICT assets referred to in paragraph 1 shall specify the criteria to perform the criticality assessment of information assets and ICT assets supporting business functions. That assessment shall take into account:
(a)	the ICT risk related to those business functions and their dependencies on the information assets or ICT assets;
(b)	how the loss of confidentiality, integrity, and availability of such information assets and ICT assets would impact the business processes and activities of the financial entities.";;;1
4898;4884;"Section 04 - Encryption and cryptography";II.C01.S04;;;1;;0
4899;4898;"Article 06 - Encryption and cryptographic controls";II.C01.S04.A06;;;1;;0
4900;4899;"Article 06.1";II.C01.S04.A06.1;0;"As part of their ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement a policy on encryption and cryptographic controls.";;;1
4901;4899;"Article 06.2";II.C01.S04.A06.2;0;"Financial entities shall design the policy on encryption and cryptographic controls referred to in paragraph 1 on the basis of the results of an approved data classification and ICT risk assessment. That policy shall contain rules for all of the following:
(a)	the encryption of data at rest and in transit;
(b)	the encryption of data in use, where necessary;
(c)	the encryption of internal network connections and traffic with external parties;
(d)	the cryptographic key management referred to in Article 7, laying down rules on the correct use, protection, and lifecycle of cryptographic keys.
For the purposes of point (b), where encryption of data in use is not possible, financial entities shall process data in use in a separated and protected environment, or take equivalent measures to ensure the confidentiality, integrity, authenticity, and availability of data.";;;1
4902;4899;"Article 06.3";II.C01.S04.A06.3;0;"Financial entities shall include in the policy on encryption and cryptographic controls referred to in paragraph 1 criteria for the selection of cryptographic techniques and use practices, taking into account leading practices, and standards as defined in Article 2, point (1), of Regulation (EU) No 1025/2012, and the classification of relevant ICT assets established in accordance with Article 8(1) of Regulation (EU) 2022/2554. Financial entities that are not able to adhere to the leading practices or standards, or to use the most reliable techniques, shall adopt mitigation and monitoring measures that ensure resilience against cyber threats.";;;1
4903;4899;"Article 06.4";II.C01.S04.A06.4;0;"Financial entities shall include in the policy on encryption and cryptographic controls referred to in paragraph 1 provisions for updating or changing, where necessary, the cryptographic technology on the basis of developments in cryptanalysis. Those updates or changes shall ensure that the cryptographic technology remains resilient against cyber threats, as required by Article 10(2), point (a). Financial entities that are not able to update or change the cryptographic technology shall adopt mitigation and monitoring measures that ensure resilience against cyber threats.";;;1
4904;4899;"Article 06.5";II.C01.S04.A06.5;0;"Financial entities shall include in the policy on encryption and cryptographic controls referred to in paragraph 1 a requirement to record the adoption of mitigation and monitoring measures adopted in accordance with paragraphs 3 and 4 and to provide a reasoned explanation for doing so.";;;1
4905;4898;"Article 07 - Cryptographic key management";II.C01.S04.A07;;;1;;0
4906;4905;"Article 07.1";II.C01.S04.A07.1;0;"Financial entities shall include in the cryptographic key management policy referred to in Article 6(2), point (d), requirements for managing cryptographic keys through their whole lifecycle, including generating, renewing, storing, backing up, archiving, retrieving, transmitting, retiring, revoking, and destroying those cryptographic keys.";;;1
4907;4905;"Article 07.2";II.C01.S04.A07.2;0;"Financial entities shall identify and implement controls to protect cryptographic keys through their whole lifecycle against loss, unauthorised access, disclosure, and modification. Financial entities shall design those controls on the basis of the results of the approved data classification and the ICT risk assessment.";;;1
4908;4905;"Article 07.3";II.C01.S04.A07.3;0;"Financial entities shall develop and implement methods to replace the cryptographic keys in the case of loss, or where those keys are compromised or damaged.";;;1
4909;4905;"Article 07.4";II.C01.S04.A07.4;0;"Financial entities shall create and maintain a register for all certificates and certificate-storing devices for at least ICT assets supporting critical or important functions. Financial entities shall keep that register up to date.";;;1
4910;4905;"Article 07.5";II.C01.S04.A07.5;0;"Financial entities shall ensure the prompt renewal of certificates in advance of their expiration.";;;1
4911;4884;"Section 05 - ICT operations security";II.C01.S05;;;1;;0
4912;4911;"Article 08 - Policies and procedures for ICT operations";II.C01.S05.A08;;;1;;0
4913;4912;"Article 08.1";II.C01.S05.A08.1;0;"As part of the ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement policies and procedures to manage the ICT operations. Those policies and procedures shall specify how financial entities operate, monitor, control, and restore their ICT assets, including the documentation of ICT operations.";;;1
4914;4912;"Article 08.2";II.C01.S05.A08.2;0;"The policies and procedures for ICT operations referred to in paragraph 1 shall contain all of the following:
(a)	an ICT assets description, including all of the following:
(i)	requirements regarding secure installation, maintenance, configuration, and deinstallation of an ICT system;
(ii)	requirements regarding the management of information assets used by ICT assets, including their processing and handling, both automated and manual;
(iii)	requirements regarding the identification and control of legacy ICT systems;
(b)	controls and monitoring of ICT systems, including all of the following:
(i)	backup and restore requirements of ICT systems;
(ii)	scheduling requirements, taking into consideration interdependencies among the ICT systems;
(iii)	protocols for audit-trail and system log information;
(iv)	requirements to ensure that the performance of internal audit and other testing minimises disruptions to business operations;
(v)	requirements on the separation of ICT production environments from the development, testing, and other non-production environments;
(vi)	requirements to conduct the development and testing in environments which are separated from the production environment;
(vii)	requirements to conduct the development and testing in production environments;
(c)	error handling concerning ICT systems, including all of the following:
(i)	procedures and protocols for handling errors;
(ii)	support and escalation contacts, including external support contacts in case of unexpected operational or technical issues;
(iii)	ICT system restart, rollback, and recovery procedures for use in the event of ICT system disruption.
For the purposes of point (b)(v), the separation shall consider all of the components of the environment, including accounts, data or connections, as required by Article 13, first subparagraph, point (a).
For the purposes of point (b)(vii), the policies and procedures referred to in paragraph 1 shall provide that the instances in which testing is performed in a production environment are clearly identified, reasoned, are for limited periods of time, and are approved by the relevant function in accordance with Article 16(6). Financial entities shall ensure the availability, confidentiality, integrity, and authenticity of ICT systems and production data during development and test activities in the production environment.";;;1
4915;4911;"Article 09 - Capacity and performance management";II.C01.S05.A09;;;1;;0
4916;4915;"Article 09.1";II.C01.S05.A09.1;0;"As part of the ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement capacity and performance management procedures for the following:
(a)	the identification of capacity requirements of their ICT systems;
(b)	the application of resource optimisation;
(c)	the monitoring procedures for maintaining and improving:
(i)	the availability of data and ICT systems;
(ii)	the efficiency of ICT systems;
(iii)	the prevention of ICT capacity shortages.";;;1
4917;4915;"Article 09.2";II.C01.S05.A09.2;0;"The capacity and performance management procedures referred to in paragraph 1 shall ensure that financial entities take measures that are appropriate to cater for the specificities of ICT systems with long or complex procurement or approval processes or ICT systems that are resource-intensive.";;;1
4918;4911;"Article 10 - Vulnerability and patch management";II.C01.S05.A10;;;1;;0
4919;4918;"Article 10.1";II.C01.S05.A10.1;0;"As part of the ICT security policies, procedures, protocols, and tools referred to in Article 9(2) of Regulation (EU) 2022/2554, financial entities shall develop, document, and implement vulnerability management procedures.";;;1
